epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,98.6088,1.52117,1.08924,1.29867,0.92271,1,0.98884,0.57247,1.40319,0.86913,1.41628,0.000687804,0.000687804,0.000687804
91,99.7182,1.67757,1.17937,1.39569,0.91488,1,0.98611,0.56115,1.38053,0.89229,1.41257,0.000676802,0.000676802,0.000676802
92,100.834,1.54383,1.07302,1.28139,0.91957,1,0.99044,0.58511,1.32712,0.77533,1.38505,0.0006658,0.0006658,0.0006658
93,101.928,1.57723,1.15025,1.33802,0.92021,1,0.98907,0.58007,1.35763,0.77009,1.40275,0.000654798,0.000654798,0.000654798
94,103.062,1.52091,1.1129,1.31715,0.92292,1,0.98884,0.54923,1.45981,0.80023,1.45304,0.000643795,0.000643795,0.000643795
95,104.169,1.60574,1.08029,1.2997,0.96097,0.98524,0.98731,0.58634,1.36582,0.80758,1.40206,0.000632793,0.000632793,0.000632793
96,105.282,1.50836,1.02334,1.24699,0.89262,0.96,0.98097,0.6297,1.29594,0.88642,1.37056,0.000621791,0.000621791,0.000621791
97,106.4,1.50636,0.99342,1.26237,0.905,0.92,0.96935,0.61859,1.33741,0.91844,1.38982,0.000610789,0.000610789,0.000610789
98,107.56,1.48764,1.01502,1.26467,0.88032,0.88,0.95314,0.59603,1.34576,0.92117,1.40286,0.000599787,0.000599787,0.000599787
99,108.704,1.44543,0.99812,1.22476,0.85899,0.92,0.95622,0.59243,1.30843,0.92776,1.38233,0.000588784,0.000588784,0.000588784
100,109.82,1.46622,1.01409,1.30061,0.96103,1,0.99346,0.63081,1.27304,0.77273,1.35572,0.000577782,0.000577782,0.000577782
101,110.917,1.5375,1.01969,1.30227,0.95471,1,0.99346,0.58,1.36754,0.76881,1.40528,0.00056678,0.00056678,0.00056678
102,112.051,1.51526,1.01401,1.30771,0.95895,1,0.99346,0.58194,1.38503,0.8283,1.41534,0.000555778,0.000555778,0.000555778
103,113.165,1.49924,0.97703,1.25946,0.9684,1,0.995,0.64028,1.25442,0.79767,1.34165,0.000544776,0.000544776,0.000544776
104,114.318,1.45634,0.97348,1.25048,0.98888,1,0.995,0.64814,1.22649,0.72427,1.32178,0.000533773,0.000533773,0.000533773
105,115.399,1.54734,1.03742,1.29764,0.95863,1,0.995,0.62878,1.25826,0.73457,1.34264,0.000522771,0.000522771,0.000522771
106,116.527,1.50662,0.97538,1.25894,0.95171,1,0.99038,0.55454,1.48495,0.79925,1.46096,0.000511769,0.000511769,0.000511769
107,117.635,1.50882,1.04385,1.27407,0.9515,1,0.99038,0.56961,1.4368,0.81707,1.45162,0.000500767,0.000500767,0.000500767
108,118.755,1.49787,1.02844,1.27263,0.94862,1,0.99038,0.59763,1.36265,0.81546,1.40681,0.000489765,0.000489765,0.000489765
109,119.867,1.55045,0.98344,1.31166,0.95335,1,0.99038,0.60803,1.34331,0.74396,1.38549,0.000478762,0.000478762,0.000478762
110,121.006,1.51726,1.02533,1.22933,0.97987,1,0.995,0.62681,1.31429,0.67308,1.36795,0.00046776,0.00046776,0.00046776
111,122.167,1.57504,1.03684,1.27118,0.98507,1,0.995,0.62545,1.30479,0.664,1.36302,0.000456758,0.000456758,0.000456758
112,123.282,1.48674,0.97116,1.27685,0.99951,1,0.995,0.61828,1.31516,0.67812,1.37644,0.000445756,0.000445756,0.000445756
113,124.383,1.44279,0.93617,1.2685,0.9782,1,0.995,0.59145,1.36388,0.70129,1.40646,0.000434754,0.000434754,0.000434754
